task,trial,val_pr_auc,val_roc_auc,val_best_f1,val_best_threshold,best_iteration,max_depth,min_child_weight,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
cancel,100,0.11654557833758475,0.7577551253698774,0.1789739736320787,0.66,25,9,8.0,0.03,0.7,1.0,0.3,0.001,2.0
cancel,12,0.11654202281958866,0.7575780919723887,0.17728831919118976,0.7,33,9,8.0,0.03,1.0,1.0,0.3,1.0,1.0
cancel,14,0.11649362081047546,0.7608506402848315,0.16855605978308483,0.75,32,9,8.0,0.08,0.9,0.8,1.0,0.001,5.0
cancel,19,0.11640177341299082,0.756969105258302,0.17135640468819788,0.6799999999999999,91,10,10.0,0.01,0.7,1.0,0.0,1.0,1.0
cancel,38,0.1163791498213744,0.7568091076453818,0.17278721663377775,0.53,5,9,3.0,0.02,0.6,0.7,1.0,0.0,10.0
cancel,90,0.11618239519744529,0.7606382007425112,0.1747218295348437,0.7,11,9,8.0,0.1,0.9,0.8,0.3,0.001,2.0
cancel,70,0.11616626796153548,0.7586043083043537,0.1714392523364486,0.76,24,9,2.0,0.1,0.8,0.9,2.0,0.1,10.0
cancel,11,0.1154841898254743,0.7578777544318516,0.17067269427907422,0.65,71,10,3.0,0.01,1.0,0.9,1.0,0.0,1.0
cancel,93,0.11545435945338704,0.7568839594208401,0.17619582141434623,0.7,12,9,3.0,0.08,1.0,1.0,1.0,0.1,1.0
cancel,43,0.11539616765027182,0.7578298596611391,0.17197782745961465,0.69,56,10,2.0,0.02,1.0,0.9,0.1,0.1,2.0
cancel,23,0.11526112528558904,0.7563765048116893,0.17848988346462918,0.67,7,9,1.0,0.1,0.8,1.0,0.0,0.01,5.0
cancel,69,0.11524853247584979,0.760103551580602,0.17290351101934603,0.74,64,9,1.0,0.03,0.8,0.8,1.0,1.0,1.0
cancel,46,0.1150421360729286,0.762294384348172,0.17455791147877317,0.75,139,9,10.0,0.02,1.0,0.6,0.5,0.01,1.0
cancel,83,0.11449578536170507,0.7550851482149978,0.14586740296152576,0.51,5,9,5.0,0.01,0.7,0.6,1.0,0.0,1.0
cancel,53,0.11401166579175946,0.7560467325010933,0.16971203112855876,0.6799999999999999,46,10,1.0,0.02,0.8,1.0,1.0,0.1,2.0
cancel,34,0.11392865941518625,0.7573271859005194,0.17064451204381909,0.66,28,10,5.0,0.03,0.7,0.9,0.5,0.001,0.5
cancel,56,0.11322848202623174,0.7602072126779724,0.1730013880275243,0.6,46,10,2.0,0.01,0.8,0.8,0.5,0.001,10.0
cancel,32,0.11262419654519201,0.7562525598045255,0.1710634011206951,0.53,5,9,1.0,0.02,0.8,0.6,0.1,0.1,0.5
cancel,52,0.11230731318875578,0.7596730968507575,0.16803130702944305,0.66,48,10,1.0,0.02,0.7,0.7,0.0,0.0,5.0
cancel,51,0.11160330474289681,0.7600542849056269,0.17083070423921848,0.66,47,10,8.0,0.02,1.0,0.8,0.5,0.01,0.5
cancel,44,0.11081895827854098,0.7541286731729462,0.16991186434411265,0.62,5,10,2.0,0.1,1.0,0.6,0.0,0.01,0.5
cancel,82,0.1104495390953839,0.7545198808483808,0.17035382177159114,0.54,5,10,10.0,0.03,0.9,0.7,1.0,0.01,2.0
cancel,20,0.10972642499906377,0.758368076049601,0.16490753020925436,0.76,126,10,2.0,0.03,0.9,0.6,0.5,0.01,5.0
cancel,21,0.10960104151047738,0.7574147667542132,0.16603482677308182,0.65,28,10,5.0,0.03,0.8,0.8,1.0,0.001,0.5
cancel,77,0.10953527610484869,0.7559838026372285,0.16309990414820016,0.76,24,10,10.0,0.1,0.8,0.9,0.3,0.1,5.0
cancel,67,0.10938386299934609,0.7529302515286265,0.16320308112011553,0.5700000000000001,5,10,10.0,0.05,0.6,0.6,0.1,0.01,0.5
cancel,73,0.10847466454907685,0.7532421808742089,0.1671473553303522,0.62,5,10,5.0,0.1,0.6,0.6,2.0,0.0,0.5
