model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_2to1_focal,B_2to1,cost_sensitive,0.0,0.05,0.16,0.6602,0.4384,0.2327,0.7364,0.4577,0.1656,0.106,0.3649,0.07259904
A_2to1_focal,B_2to1,macro_f1,0.25,0.03,0.17,0.6562,0.4289,0.4289,0.7499,0.3781,0.2532,0.106,0.3649,0.10859748
A_2to1_focal,B_2to1,cost_sensitive,0.25,0.03,0.16,0.6382,0.4267,0.2213,0.7132,0.4244,0.2532,0.106,0.3649,0.10804044
A_2to1_focal,B_2to1,macro_f1,0.3,0.02,0.17,0.6108,0.4064,0.4064,0.6976,0.3347,0.3661,0.106,0.3649,0.14878303999999998
A_2to1_focal,B_2to1,cost_sensitive,0.3,0.02,0.16,0.595,0.405,0.2016,0.6653,0.3762,0.3661,0.106,0.3649,0.1482705
A_2to1_focal,B_2to1,macro_f1,0.35,0.02,0.17,0.6108,0.4064,0.4064,0.6976,0.3347,0.3661,0.106,0.3649,0.14878303999999998
A_2to1_focal,B_2to1,cost_sensitive,0.35,0.02,0.16,0.595,0.405,0.2016,0.6653,0.3762,0.3661,0.106,0.3649,0.1482705
A_2to1_focal,B_2to1,macro_f1,0.4,0.01,0.12,0.1034,0.0982,0.0982,0.0868,0.0421,0.9493,0.106,0.3649,0.09322126
A_2to1_focal,B_2to1,cost_sensitive,0.4,0.01,0.1,0.0988,0.0979,0.0723,0.0781,0.0513,0.9493,0.106,0.3649,0.09293647000000001
A_2to1_focal,B_2to1,macro_f1,0.5,0.01,0.12,0.1034,0.0982,0.0982,0.0868,0.0421,0.9493,0.106,0.3649,0.09322126
A_2to1_focal,B_2to1,cost_sensitive,0.5,0.01,0.1,0.0988,0.0979,0.0723,0.0781,0.0513,0.9493,0.106,0.3649,0.09293647000000001
A_2to1_focal,B_1to1,macro_f1,0.0,0.06,0.17,0.7023,0.4419,0.4419,0.8172,0.3741,0.1185,0.106,0.3629,0.05236515
A_2to1_focal,B_1to1,cost_sensitive,0.0,0.05,0.16,0.6692,0.4396,0.2326,0.755,0.4339,0.1656,0.106,0.3629,0.07279776
A_2to1_focal,B_1to1,macro_f1,0.25,0.03,0.17,0.67,0.4278,0.4278,0.7809,0.3323,0.2532,0.106,0.3629,0.10831895999999999
A_2to1_focal,B_1to1,cost_sensitive,0.25,0.03,0.16,0.6468,0.4277,0.2211,0.731,0.4015,0.2532,0.106,0.3629,0.10829364
A_2to1_focal,B_1to1,macro_f1,0.3,0.02,0.16,0.6029,0.4057,0.4057,0.6816,0.3549,0.3661,0.106,0.3629,0.14852677
A_2to1_focal,B_1to1,cost_sensitive,0.3,0.02,0.15,0.5793,0.4014,0.2013,0.6351,0.4099,0.3661,0.106,0.3629,0.14695254
A_2to1_focal,B_1to1,macro_f1,0.35,0.02,0.16,0.6029,0.4057,0.4057,0.6816,0.3549,0.3661,0.106,0.3629,0.14852677
A_2to1_focal,B_1to1,cost_sensitive,0.35,0.02,0.15,0.5793,0.4014,0.2013,0.6351,0.4099,0.3661,0.106,0.3629,0.14695254
